Position,Decimal,Appearance
0x041F,1055,П
0x0420,1056,Р
0x0421,1057,С
0x0422,1058,Т
0x0423,1059,У
0x0424,1060,Ф
0x0425,1061,Х
0x0426,1062,Ц
0x0427,1063,Ч
0x0428,1064,Ш
0x0429,1065,Щ
0x042A,1066,Ъ
0x042B,1067,Ы
0x042C,1068,Ь
0x042D,1069,Э
0x042E,1070,Ю
0x042F,1071,Я
0x0430,1072,а
0x0431,1073,б
0x0432,1074,в
0x0433,1075,г
0x0434,1076,д
0x0435,1077,е
0x0436,1078,ж
0x0437,1079,з
0x0438,1080,и
0x0439,1081,й
0x043A,1082,к
0x043B,1083,л
0x043C,1084,м
0x043D,1085,н
0x043E,1086,о
0x043F,1087,п
0x0440,1088,р
0x0441,1089,с
0x0442,1090,т
0x0443,1091,у
0x0444,1092,ф
0x0445,1093,х
0x0446,1094,ц
0x0447,1095,ч
0x0448,1096,ш
0x0449,1097,щ
0x044A,1098,ъ
0x044B,1099,ы
0x044C,1100,ь
0x044D,1101,э
0x044E,1102,ю
0x044F,1103,я
0x0450,1104,ѐ
0x0451,1105,ё
0x0452,1106,ђ
0x0453,1107,ѓ
0x0454,1108,є
0x0455,1109,ѕ
0x0456,1110,і
0x0457,1111,ї
0x0458,1112,ј
0x0459,1113,љ
0x045A,1114,њ
0x045B,1115,ћ
0x045C,1116,ќ
0x045D,1117,ѝ
0x045E,1118,ў
0x045F,1119,џ
0x0460,1120,Ѡ
0x0461,1121,ѡ
0x0462,1122,Ѣ
0x0463,1123,ѣ
0x0464,1124,Ѥ
0x0465,1125,ѥ
0x0466,1126,Ѧ
0x0467,1127,ѧ
0x0468,1128,Ѩ
0x0469,1129,ѩ
0x046A,1130,Ѫ
0x046B,1131,ѫ
0x046C,1132,Ѭ
0x046D,1133,ѭ
0x046E,1134,Ѯ
0x046F,1135,ѯ
0x0470,1136,Ѱ
0x0471,1137,ѱ
0x0472,1138,Ѳ
0x0473,1139,ѳ
0x0474,1140,Ѵ
0x0475,1141,ѵ
0x0476,1142,Ѷ
0x0477,1143,ѷ
0x0478,1144,Ѹ
0x0479,1145,ѹ
0x047A,1146,Ѻ
0x047B,1147,ѻ
0x047C,1148,Ѽ
0x047D,1149,ѽ
0x047E,1150,Ѿ
0x047F,1151,ѿ
0x0480,1152,Ҁ
0x0481,1153,ҁ
0x0482,1154,҂
0x0483,1155,҃
0x0484,1156,҄
0x0485,1157,҅
0x0486,1158,҆
0x0488,1160,҈
0x0489,1161,҉
0x048C,1164,Ҍ
0x048D,1165,ҍ
0x048E,1166,Ҏ
0x048F,1167,ҏ
0x0490,1168,Ґ
0x0491,1169,ґ
0x0492,1170,Ғ
0x0493,1171,ғ
0x0494,1172,Ҕ
0x0495,1173,ҕ
0x0496,1174,Җ
0x0497,1175,җ
0x0498,1176,Ҙ
0x0499,1177,ҙ
0x049A,1178,Қ
0x049B,1179,қ
0x049C,1180,Ҝ
0x049D,1181,ҝ
0x049E,1182,Ҟ
0x049F,1183,ҟ
0x04A0,1184,Ҡ
0x04A1,1185,ҡ
0x04A2,1186,Ң
0x04A3,1187,ң
0x04A4,1188,Ҥ
0x04A5,1189,ҥ
0x04A6,1190,Ҧ
0x04A7,1191,ҧ
